Title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update,total_sales_computed,release_year
Legend of the Guardians: The Owls of Ga'Hoole,X360,Action,Warner Bros. Interactive,Krome Studios,7.3,0.07,0.06,0.0,0.01,0.01,2010-09-14,,0.07999999999999999,2010.0
Resident Evil 5,PS4,Action,Capcom,Capcom,7.3,0.07,0.05,0.01,0.0,0.01,2016-07-12,2018-09-04,0.07,2016.0
Katekyoo Hitman Reborn! DS: Flame Rumble Mukuro Kyoushuu,DS,Fighting,Takara Tomy,Takara Tomy,7.3,0.06,0.0,0.06,0.0,0.0,2007-06-28,,0.06,2007.0
Flipnic: Ultimate Pinball,PS2,Misc,Capcom,Sony Computer Entertainment,7.3,0.06,0.03,0.0,0.02,0.01,2005-07-13,,0.060000000000000005,2005.0
Eigo de Tabisuru: Little Charo,DS,Misc,Nintendo,Nintendo,7.3,0.06,0.0,0.06,0.0,0.0,2011-01-20,,0.06,2011.0
Virtual Chess 64,N64,Misc,Titus,Titus Software,7.3,0.06,0.05,0.0,0.01,0.0,1998-06-10,,0.060000000000000005,1998.0
Smile PreCure! Let's Go! Marchen World,3DS,Misc,Namco Bandai Games,Bandai Namco Games,7.3,0.06,0.0,0.06,0.0,0.0,2012-08-02,2019-01-03,0.06,2012.0
I Love Beauty: Hollywood Makeover,DS,Misc,City Interactive,City Interactive,7.3,0.06,0.06,0.0,0.0,0.0,2009-05-20,,0.06,2009.0
Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kounin: KanKen DS3 Deluxe,DS,Misc,Rocket Company,Rocket Company,7.3,0.06,0.0,0.06,0.0,0.0,2009-04-09,,0.06,2009.0
Minna no DS Seminar: Kanpeki Eitango Ryoku,DS,Misc,TDK Core,TDK Core,7.3,0.06,0.0,0.06,0.0,0.0,2006-07-20,,0.06,2006.0
Create,PC,Misc,Electronic Arts,EA Bright Light,6.0,0.06,0.04,0.0,0.01,0.0,2010-11-16,,0.05,2010.0
Hasbro Family Fun Pack Conquest Edition,XOne,Misc,Ubisoft,Ubisoft,7.3,0.06,0.05,0.0,0.0,0.01,2016-11-15,,0.060000000000000005,2016.0
World Series of Poker 2008: Battle for the Bracelets,DS,Misc,Activision,Farmind Ltd,7.3,0.06,0.05,0.0,0.0,0.0,2007-11-06,,0.05,2007.0
Smart Boy's Toys Club,DS,Misc,UFO Interactive,Starfish Inc.,7.3,0.06,0.06,0.0,0.0,0.0,2008-10-15,,0.06,2008.0
Cold Stone Creamery: Scoop It Up,Wii,Misc,Zoo Games,Zoo Games,7.3,0.06,0.06,0.0,0.0,0.0,2009-12-22,,0.06,2009.0
Melty Blood: Actress Again,PS2,Fighting,Ecole,Ecole Software,7.3,0.06,0.0,0.06,0.0,0.0,2009-08-20,,0.06,2009.0
Kamen Rider: Super Climax Heroes,PSP,Fighting,Namco Bandai Games,Eighting,7.3,0.06,0.0,0.06,0.0,0.0,2012-11-29,2018-12-02,0.06,2012.0
All Kamen Rider: Rider Generation 2,PSP,Fighting,Namco Bandai Games,Bandai Namco Games,7.3,0.06,0.0,0.06,0.0,0.0,2012-08-02,2018-11-23,0.06,2012.0
Showtime Championship Boxing,Wii,Fighting,DSI Games,Nikitova Games,7.3,0.06,0.06,0.0,0.0,0.0,2007-12-13,,0.06,2007.0
Guilty Gear XX Accent Core Plus,PS2,Fighting,Aksys Games,Arc System Works,7.3,0.06,0.03,0.0,0.02,0.01,2009-04-07,,0.060000000000000005,2009.0
Shonen Jump's One Piece: Grand Battle,GC,Fighting,Namco Bandai,Ganbarion,7.3,0.06,0.05,0.0,0.01,0.0,2005-09-07,,0.060000000000000005,2005.0
Naruto Shippuden: Gekitou Ninja Taisen Special,Wii,Fighting,Takara Tomy,Eighting,7.3,0.06,0.0,0.06,0.0,0.0,2010-12-02,,0.06,2010.0
Jissen Pachi-Slot Hisshouhou! Hokuto no Ken F - Seikimatsu Kyuuseishu Densetsu,PS3,Fighting,Sega,Sammy Studios,7.3,0.06,0.0,0.06,0.0,0.0,2012-05-31,2019-01-03,0.06,2012.0
Zero Divide,PS,Fighting,Time Warner Interactive,Zoom Inc.,7.3,0.06,0.03,0.0,0.02,0.0,1995-08-24,,0.05,1995.0
Marvel Super Heroes,SAT,Fighting,Capcom,Capcom,7.3,0.06,0.0,0.06,0.0,0.0,1997-09-29,,0.06,1997.0
Gintama no Sugoroku,PSP,Misc,Namco Bandai Games,Bandai Namco Games,7.3,0.06,0.0,0.06,0.0,0.0,2013-01-24,2019-01-03,0.06,2013.0
Meitantei Conan: Tantei Ryoku Trainer,DS,Misc,Namco Bandai,Bandai Namco Games,7.3,0.06,0.0,0.06,0.0,0.0,2007-04-05,,0.06,2007.0
Atari Flashback Classics: Volume 2,XOne,Misc,Atari,Atari,7.3,0.06,0.05,0.0,0.0,0.01,2016-10-12,2018-06-27,0.060000000000000005,2016.0
Genkai Tokki Monster Monpiece,PSV,Misc,Idea Factory,Compile Heart,7.3,0.06,0.0,0.06,0.0,0.0,2014-05-27,2018-12-29,0.06,2014.0
Game Center CX: 3-Choume no Arino,3DS,Misc,Namco Bandai Games,Bandai Namco Games,7.3,0.06,0.0,0.06,0.0,0.0,2014-03-20,2019-01-03,0.06,2014.0
World Poker Tour,XB,Misc,2K Sports,2K Sports,7.3,0.06,0.05,0.0,0.01,0.0,2005-10-18,,0.060000000000000005,2005.0
Super Mahjong 2: Honkaku 4Jin Uchi,SNES,Misc,Imax,I'Max,7.3,0.06,0.0,0.06,0.0,0.0,1993-12-02,,0.06,1993.0
Pop'n Music Portable 2,PSP,Misc,Konami,Konami,7.3,0.06,0.0,0.06,0.0,0.0,2011-11-23,,0.06,2011.0
ICO,PS3,Adventure,Sony Computer Entertainment,Bluepoint Games,7.3,0.06,0.0,0.06,0.0,0.0,2011-09-22,,0.06,2011.0
D.C. II P.S.: Da Capo II Plus Situation,PS2,Adventure,Kadokawa Shoten,Circus,7.3,0.06,0.0,0.06,0.0,0.0,2008-05-29,,0.06,2008.0
Daito Giken Koushiki Pachi-Slot Simulator: Ossu! Banchou Portable,PSP,Misc,Daito,Daito,7.3,0.06,0.0,0.06,0.0,0.0,2006-03-02,,0.06,2006.0
Muppets Party Cruise,PS2,Misc,TDK Mediactive,Mass Media,7.3,0.06,0.03,0.0,0.02,0.01,2003-11-13,,0.060000000000000005,2003.0
Hisshou Pachinko*Pachi-Slot Kouryaku Series Portable Vol. 1: Shinseiki Evangelion - Tamashii no Kiseki,PSP,Misc,D3 Publisher,Bisty,7.3,0.06,0.0,0.06,0.0,0.0,2010-06-03,,0.06,2010.0
The Document of Metal Gear Solid 2,PS2,Misc,Konami,Konami Computer Entertainment Japan,7.3,0.06,0.03,0.0,0.02,0.01,2002-09-24,,0.060000000000000005,2002.0
Birthdays the Beginning,PS4,Misc,NIS America,Arc System Works,7.3,0.06,0.05,0.0,0.0,0.01,2017-05-09,2018-03-04,0.060000000000000005,2017.0
